drug_name,chembl_id
golodirsen,CHEMBL4297762
enfortumab vedotin,CHEMBL3301589
lemborexant,CHEMBL3545367
trastuzumab deruxtecan,CHEMBL4297844
lumateperone,CHEMBL3306803
brilliant Blue G,CHEMBL4173394
ubrogepant,CHEMBL2364638
osilodrostat,CHEMBL3099695
avapritinib,CHEMBL4204794
ferric derisomaltose,CHEMBL4298187
teprotumumab,CHEMBL1743079
tazemetostat,CHEMBL3414621
lactitol,CHEMBL1661
eptinezumab,CHEMBL3833320
bempedoic acid,CHEMBL3545313
amisulpride,CHEMBL243712
rimegepant,CHEMBL2178422
isatuximab,CHEMBL3545131
remdesivir,CHEMBL4065616
fluorescein,CHEMBL1057
oxybuprocaine,
asciminib,CHEMBL4208229
ozanimod,CHEMBL3707247
sacituzumab govitecan,CHEMBL3545262
selumetinib,CHEMBL1614701
pemigatinib,CHEMBL4297522
tucatinib,CHEMBL3989868
capmatinib,CHEMBL3188267
belantamab mafodotin,CHEMBL4298209
selpercatinib,CHEMBL4559134
ripretinib,CHEMBL4216467
fluoroestradiol F 18,
artesunate,CHEMBL361497
flortaucipir F 18,CHEMBL3545253
nifurtimox,CHEMBL290960
inebilizumab,CHEMBL2109334
lurbinectedin,CHEMBL4297516
fenfluramine,CHEMBL87493
triheptanoin,CHEMBL4297585
remimazolam,CHEMBL4297526
fostemsavir,CHEMBL3301594
inqovi,
abametapir,CHEMBL2205807
tafasitamab,CHEMBL4298047
bulevirtide,CHEMBL4297711
risdiplam,CHEMBL4297528
oliceridine,CHEMBL2443262
viltolarsen,CHEMBL4298062
satralizumab,CHEMBL3833307
clascoterone,CHEMBL3590187
imlifidase,CHEMBL4297981
somapacitan,CHEMBL3707290
copper dotatate Cu-64,
pralsetinib,CHEMBL4582651
filgotinib,CHEMBL3301607
odesivimab,CHEMBL4298188
atoltivimab,CHEMBL4298183
maftivimab,CHEMBL4298184
etesevimab,CHEMBL4650488
bamlanivimab,CHEMBL4650379
lumasiran,CHEMBL4297779
lonafarnib,CHEMBL298734
imdevimab,CHEMBL4650249
casirivimab,CHEMBL4650248
naxitamab,CHEMBL4297984
gallium (68Ga) gozetotide,
berotralstat,CHEMBL5189739
inclisiran,CHEMBL3990033
tirbanibulin,CHEMBL571546
margetuximab,CHEMBL2364649
cabotegravir,CHEMBL2403238
relugolix,CHEMBL1800159
ansuvimab,CHEMBL4594388
vibegron,CHEMBL2107826
vericiguat,CHEMBL4066936
voclosporin,CHEMBL5314379
tepotinib,CHEMBL3402762
umbralisib,CHEMBL3948730
evinacumab,CHEMBL3545191
trilaciclib,CHEMBL3894860
casimersen,CHEMBL4297566
fosdenopterin,CHEMBL2338675
melphalan flufenamide,CHEMBL4303060
serdexmethylphenidate,CHEMBL4301162
ponesimod,CHEMBL1096146
dasiglucagon,CHEMBL4297741
viloxazine,CHEMBL306700
estetrol,CHEMBL6068423
dostarlimab,CHEMBL4298124
loncastuximab tesirine,CHEMBL4297778
potassium hydrogencarbonate,
pegcetacoplan,CHEMBL4298211
amivantamab,CHEMBL4297774
piflufolastat F-18,
samidorphan,CHEMBL426084
sotorasib,CHEMBL4535757
ibrexafungerp,CHEMBL4297513
aducanumab,CHEMBL3039540
finerenone,CHEMBL2181927
belumosudil,CHEMBL2005186
tralokinumab,CHEMBL1743081
odevixibat,CHEMBL4297588
fexinidazole,CHEMBL1631694
anifrolumab,CHEMBL2364653
avalglucosidase alfa,CHEMBL4594320
belzutifan,CHEMBL4585668
roxadustat,CHEMBL2338329
bimekizumab,CHEMBL4297700
difelikefalin,CHEMBL3989915
lonapegsomatropin,CHEMBL4298185
vosoritide,CHEMBL3707276
mobocertinib,CHEMBL4650319
tisotumab vedotin,CHEMBL4297841
atogepant,CHEMBL3991065
maralixibat hydrochloride,
avacopan,CHEMBL3989871
regdanvimab,CHEMBL4650462
pafolacianine,CHEMBL4297412
abrocitinib,CHEMBL3655081
sotrovimab,CHEMBL4650524
tezepelumab,CHEMBL3707229
daridorexant,CHEMBL4297590
tebentafusp,CHEMBL4297990
nirmatrelvir,CHEMBL4802135
faricimab,CHEMBL4297750
sutimlimab,CHEMBL4297832
somatrogon,CHEMBL4297830
mitapivat,CHEMBL4299940
pacritinib,CHEMBL2035187
relatlimab,CHEMBL3990044
ganaxolone,CHEMBL1568698
lutetium (177Lu) vipivotide tetraxetan,
cilgavimab,CHEMBL4650258
tixagevimab,CHEMBL4650265
oteseconazole,CHEMBL3311228
mavacamten,CHEMBL4297517
tirzepatide,CHEMBL4297839
tapinarof,CHEMBL259571
mosunetuzumab,CHEMBL4297788
vutrisiran,CHEMBL4594511
linzagolix,CHEMBL3668014
birch bark extract,
olipudase alfa,CHEMBL3707358
indigo carmine,
lenacapavir,CHEMBL4594438
eladocagene exuparvovec,CHEMBL4298189
teclistamab,CHEMBL4594505
valoctocogene roxaparvovec,CHEMBL4297579
spesolimab,CHEMBL4297911
deucravacitinib,CHEMBL4435170
eflapegrastim,CHEMBL3833384
terlipressin,CHEMBL2135460
gadopiclenol,CHEMBL4297634
omidenepag isopropyl,CHEMBL4297666
taurursodiol,CHEMBL272427
futibatinib,CHEMBL3701238
tremelimumab,CHEMBL2108658
nirsevimab,CHEMBL4297575
mirvetuximab soravtansine,CHEMBL3545132
teplizumab,CHEMBL1743078
olutasidenib,CHEMBL4297610
adagrasib,CHEMBL4594350
xenon (129Xe) hyperpolarized,
ublituximab,CHEMBL2108354
anacaulase,
lecanemab,CHEMBL3833321
bexagliflozin,CHEMBL1808388
pirtobrutinib,CHEMBL4650485
elacestrant,CHEMBL4297509
daprodustat,CHEMBL3544988
sparsentan,CHEMBL539423
omaveloxolone,CHEMBL4303525
zavegepant,CHEMBL2397415
trofinetide,CHEMBL197084
cipaglucosidase alfa,CHEMBL4594329
retifanlimab,CHEMBL4298037
rezafungin,CHEMBL3989945
leniolisib,CHEMBL3643413
vadadustat,CHEMBL3646221
tofersen,CHEMBL3833346
pegunigalsidase alfa,CHEMBL4297801
fezolinetant,CHEMBL3608680
perfluorohexyloctane,CHEMBL5314588
epcoritamab,CHEMBL4650393
durlobactam,CHEMBL4298137
flotufolastat f-18 gallium,CHEMBL5314559
mirikizumab,CHEMBL3990014
glofitamab,CHEMBL4298092
ritlecitinib,CHEMBL4085457
rozanolixizumab,CHEMBL4297820
quizartinib,CHEMBL576982
cantharidin,CHEMBL48449
lotilaner,CHEMBL3707310
zuranolone,CHEMBL4105630
avacincaptad pegol,CHEMBL6068573
talquetamab,CHEMBL4594503
elranatamab,CHEMBL4297809
palovarotene,CHEMBL2105648
pozelimab,CHEMBL4298086
